,TITLE,PR DESCRIPTION,PROPOSAL,COMMENTS
16,"Fast, JSON-API-compliant, and ready for Ember Data",',"# Fast, JSON-API-compliant, and ready for Ember Data

We love Rails. We love Sinatra. We love snappy applications.

[Ember.js](http://emberjs.com/) is carrying the convention-over-configuration torch forward from Rails into client-side MVC-land, and a big part of that convention is about standardising our JSON APIs.

The Ember.js data-persistence library, known as Ember Data, implicitly specifies an API that it 'expects' - an API that will require no configuration by the Ember application. [JSON API](http://jsonapi.org/) is the name given to that specification.

This talk is about demonstrating different approaches for developing JSON-API compliant APIs in Ruby, hooking the APIs up to a basic Ember.js app, and contrasting the performance and maintainability of each API implementation.

## Dan Sowter

Technical lead at [NetEngine](http://netengine.com.au/). Obsessive about simplicity and chicken-wings.

![Profile picture](https://2.gravatar.com/avatar/fd5c5330a82f255dddea98f070959648?d=https%3A%2F%2Fidenticons.github.com%2F1d4631dacbc90a89782ff907246768db.png&s=420)

- [My website](http://dansowter.com)
- [My twitter](https://twitter.com/dansowter)
- [Past talk slides](http://dansowter.com/presentations/open-data-in-queensland/#/)
- [Past talk video](http://www.youtube.com/watch?v=GKe44oY-9Z0)",
17, An Ode to 17 Databases in 39 minutes,"A detailed, deep-diving, in-the-deep-end and occasionally humorous whirlwind introduction and analysis of a suite of modern (and sometimes delightfully archaic) database technologies. ","# An Ode to 17 Databases in 39 minutes

A detailed, deep-diving, in-the-deep-end and occasionally humorous whirlwind introduction and analysis of a suite of modern (and sometimes delightfully archaic) database technologies. How they work, why they work, and when you might want them to work in your Ruby and Rails application. 

At no extra charge I will also attempt to explain the oft-misunderstood CAP theorem, using databases as a device for understanding the trade offs and compromises inherent in building complex distributed systems.

Including but not limited to:

- PostgreSQL
- Redis
- Cassandra
- Hyperdex
- MongoDb
- Riak
- Animated Gifs

The goal of the talk is to shed light on the wide range of options outside of the ""traditional"" PostgreSQL or MySQL. Ruby on Rails has a rather myopic focus on particular patterns of database interaction and technology on which lead developers to overlook other tools that may be really well suited for particular use-cases.

This talk is loosely based on my (award winning) Lightning Talk presented at the 2013 Australian Ruby Conference ""An Ode to 17 databases in 5 minutes"".
A 30 minute version was presented at the September 2013 Rocky Mountain Ruby Conference in Boulder, Colorado to wild acclaim (or at least some mildy positive feedback).


## Toby Hede

Toby Hede is a mild-mannered Software Engineer, based in Sydney, Australia. By day he works as Technical Lead for Ninefold, shaving yaks with Ruby & Chef and Redis and a zillion other awesome things. By night he pretty much does almost but not quite the same thing, occasionally using Go.

Toby's hobbies include collecting programming languages and databases, playing the drums, cutting code and pondering the nature of existence.

![Profile picture](https://raw.github.com/tobyhede/rubyconfau-2014-cfp/master/an-ode-to-17-databases/profile_picture.jpg)

- [@tobyhede](https://twitter.com/tobyhede)

Previous Talks and Slides
- [An Ode to 17 databases in 5 minutes](http://vimeo.com/channels/486849/61342270View)

- [An Ode To 17 Databases in 29 Minutes](http://slid.es/tobyhede/an-ode-to-17-database-in-29-minutes)
- [Things I have learned from a lifetime of failure](http://www.youtube.com/watch?v=broSHm8MJFU)
- [The Adventures of a Ruby Developer in Opsland](http://slid.es/tobyhede/sydney-devops)
",
18,Hitchikers guide to UXing without a UXer,A 'Douglas Adams' style quick-start guide for developers to help them keep the greatness in their product and ideas without having a designer or UXer on staff. ,"# Hitchikers guide to UXing without a UXer

Sometimes you are tasked with building great things by yourself or in a small team. Bootstrapped start-ups don’t always have the budget for a dedicated UXer to help you design the best apps, software or websites. So how do design great things without a UXer? 

This is not a definitive guide or to even to be used instead of getting professional UX help but it will get you started developing the right way and stop you making classic mistakes. Before you even consider touching your dev environment I will show you how to “Start with one idea”, “Think like a user” and set out your user journeys. From this solid foundation I will show you how to wireframe your logic and build a rough protoype. 

We then consider how to evaluate and iterate on your designs and what tools you can use. Finally, I outline the importance of never being afraid to scrap anything which doesn’t work. All without a single line of code being written. 

Save your development time and build greatness into your product.

## Chrissy Welsh

Chrissy Welsh is the Lead UX Consultant for Backbase, based in Amsterdam. She is interested in the potential of ‘bleeding edge’ technologies in user experience design to  make products easy and pleasurable to use. 

She has over 10 years design experience and has worked with a variety of industries including software development, healthcare and education. Before Backbase, Chrissy was the senior UX/UI designer for Cloud9 IDE where she designed user experiences for online coding apps. She has also designed cloud based IDE's, cloud based monitoring systems, data migration software, online services & websites. She started her career in design as an opinionated web developer. 

Chrissy has an honours degree in Applied Graphics with Multimedia Technology from Caledonian University, Glasgow, Scotland. When not writing grandiose bios she can be found drinking tea and drawing animals in hats.

![Profile picture](https://raw.github.com/chrissywelsh/rubyconfau-2014-cfp/master/talk-chrissy_welsh-hitchikers_guide_to_uxing_without_a_uxer/profile_picture.jpg)

- [My website - christinewelsh.co.uk](http://www.christinewelsh.co.uk)
- [My twitter - @chrissywelsh](https://www.twitter.com/chrissywelsh)
- [Past talk slides - iOS7 The Good The Bad & The Changes](http://www.slideshare.net/chrissywelsh/ios7-the-good-the-bad-the-changes)
 - [Past talk slides - Failing Fast for Quick Wins](http://www.slideshare.net/chrissywelsh/the-web-and-beyond-chrissy-welsh)",
19,Talk: How To Win Designers And Influence Developers,"This talk is about ways to hack your team for a more efficient, productive and ultimately happier existence. That's the good news. The bad news is hacking your team starts with hacking yourself.","# How To Win Designers And Influence Developers

This talk is about ways to hack your team for a more efficient, productive and ultimately happier existence. That's the good news. The bad news is hacking your team starts with hacking yourself.

In 1936, Dale Carnegie published a book called ""How To Win Friends And Influence People"". You may have heard of it. In 1989, Stephen Covey published ""The 7 Habits Of Highly Effective People"". I was 6 years old.

What can these old books (and others) teach us about working as part of a modern software team today?

A hell of a lot, actually.

We'll look at some of the hacks, I mean techniques, raised in these books and investigate how they apply in the modern software team.

## Adam Rogers

I'm a professional yack-shaver at Mint Digigtal. I'm supposed to be a Rails developer. From dotfiles to development tools, there is nothing that diverts my attention more than fixing something that wasn't really broken in the fist place.

![Profile picture](https://www.dropbox.com/s/3upian01vb9r0fk/me_cool.jpg)

- [My website](http://rodreegez.com)
- [My twitter](https://twitter.com/rodreegez)
- [Past talk slides](https://speakerdeck.com/rodreegez/how-to-win-designers-and-influence-developers)",
20,Real Developers Ship,"In which we explore the tenets of a small team inside Envato who changed the way they work in order to deliver better and faster, and how you can too. Among other things, we'll cover continuous deployment, paying the refactor cost upfront, staying lean, and testing in production.","# Real developers ship (a.k.a Tenets for software delivery)

Not too long ago, a small group of developers inside Envato embarked on a mission: take an idea, and turn it into something real. To accomplish this goal, they didn't just have to build the product, but change the way they were writing and shipping code as well. In the end, the way they were delivering was radically different to anything they'd ever done before. The result? Mission accomplished.

This talk explores the core tenets of the team's delivery process, and explores the reasons behind the decisions that were made. It mixes anecdotes with practical examples, showing how changing the way you think can really help get things done.

Some of the tenets in the talk include:

* Level up your CI to continuous deployment
* Time is valued above all
* Staying lean with YAGNI
* Pay the refactor cost upfront
* Testing is best done in production
* Do things that don't scale
* Living on the bleeding edge
* The only way to move is forward

After listening to this talk, you will know how easy it is to introduce these principles into your Rails app. You'll be armed with ideas of what you can take home to your team, in order to deliver better and faster than before.

## Sebastian von Conrad

Growing up in Sweden, Australia was about the last place Sebastian ever thought he'd visit, yet alone live. After 5 years and counting, however, he has no plans of leaving--at least not until he actually sees a snake.

Sebastian works as a Development Manager at Envato, where he most recently led the development effort behind Microlancer, Envato's latest product. He is a Railscamp organiser, helped out during the last RubyConf AU and is a founding member of Ruby Australia.

Sebastian also dislikes writing about himself in third person, but realises we must all make sacrifices for the greater good.

![Profile picture](https://raw.github.com/vonconrad/rubyconfau-2014-cfp/master/talk-sebastian_von_conrad-real_developers_ship/svc.jpg)

- [My website](http://vonconrad.com)
- [My twitter](https://twitter.com/vonconrad)",
21,I've got your number: Machine Learning in Ruby.,"An introduction to ML, including a demo, working code and libraries available to Rubyists ro explore this world.","# I've got your number: Machine Learning in Ruby

Would you like to do some OCR using Ruby and learn some
machine-learning along the way?

In this talk, first up, we'll have a quick demo where an attendee
scribbles a number on a sticky note and a Ruby program tries
to recognize it. Then we'll pick it apart, covering:

+ the basics of machine-learning (and different applications)
+ brief look into the Math behind supervised learning (classification)
+ (mostly) hand-rolled code applying this Math
+ libraries/tools available to Rubyists (and choice of Ruby platforms)
 including:
   + weka
   + mahout
   + libsvm
   + Ruby `Matrix` class :)
   + etc.
+ ways to dive deeper into ML

You'll leave inspired to explore this new world of machine learning,
pick up sought-after skills and have fun!

PS: To add some variety, I'll employ the widely recognized but rarely
heard (at Rubyconf AU) Indian accent.

## Arnab Deka

Arnab is a Senior Software Engineer at LivingSocial (working remotely
from Bangalore), and has been writing Ruby (i.e. having fun) since
2008. Prior to this, Arnab was with AWS at Amazon.com in Seattle.

![Profile picture](https://raw.github.com/arnab/rubyconfau-2014-cfp/cfp/arnab-ml-in-ruby/talk-arnab_deka-ive_got_your_number_machine_learning_in_ruby/profile_picture.jpg)

- [http://arnab-deka.com/](http://arnab-deka.com/)
- [@arnab_deka](https://twitter.com/arnab_deka)
- [github/arnab/](https://github.com/arnab/)

Past talk slides:

+ [Ruby vs The World](http://slid.es/arnab_deka/ruby-vs-the-world): at
  RailsGarden Bangalore, a Ruby/RoR workshop for students, in Aug'13.
+ [Remote Pair Programming](http://slid.es/arnab_deka/pairwithme-remotely):
  at Bangalore RUG meetup in Oct'13.",
22,Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion,"### Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion
**Audience:** Rubysts and Software Developers at General
How Behavioral Economics findings and principles can help us to reflecting in the relevance of Ruby/Elixir (culture) for Software Development.
The presentation will be very interactive. The presenter will ask the participation of the audience to illustrate at real time and at live the BE principles. These principles will be use for reflecting about the relevance of Ruby/Elixir for the Software Development","# Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion

**Audience:** Rubysts and Software Developers at General

## Description
*Classical Economics* traditionally conceptualizes a world populated by agents calculating, unemotional maximizers bearing the name of Homo economicus. The classical economic ignores or dismisses virtually all human behavior studied by cognitive and social psychologists. The standard economic model of human behavior-realistic three features includes unlimited rationality, willpower and infinite selfishness without limits, all of which **Behavioral Economics (BE)** modifies it in a more *holistic* view based on *evidence* and *experiments*.

Software craftsmanship is an approach to software development that emphasizes the coding skills of the software developers themselves vs the view of practitioners of the well-defined statistical analysis and mathematical rigor of an engineering approach with the connotations of predictability, precision, mitigated risk and professionalism. Dan North wrote: *""No-one wants your steenking (sic) software – they want the capabilities it gives them, and they want those yesterday""*. 

Why Ruby and Elixir programming languages that are designed to make programmers happy have been hypothesized to be more effective in the long run because happy programers are more productive. But this is true? What other factors should be taken in consideration? The BE could offer some light to this based on the findings of the field as:
  * Labor and Motivation: Meaning, IKEA effect, Not-Invented here bias, Cognitive Dissonance, Monetary/Social Stress and Performance.
  * Self-Control: Difficulty with Self-Control, Reward Substitution, Ulysses Contracts
  * Psychology of Money: Cost Opportunity, Relativity, Mental Accounting, Loss Aversion, Endowment Effect, Market and Social Norms
  * Irrationality: Defaults, Preferences, Relativity, Long-lasting Effects of Decisions and Learning from our Mistakes

This principles will be presented in a practical way and how we can take advantage of those to reflect about the relevance of Ruby for the Software Development.

## Presentation Style
The presentation will be very interactive. The presenter will ask the participation of the audience to illustrate at real time and at live the BE principles. These principles will be use for reflecting about the relevance of Ruby/Elixir for the Software Development

## Manuel Vidaurre

### Background
[me](http://about.me/manuel.vidaurre).born = ""Guadalajara, Jal""

me.passions = {:value => ""adding more"", :meaning => ""leaving a notch in life"", :people => ""doing something to give them more happiness and freedom"", :software => ""a way to adding more happiness and freedom to the people leaving a notch in life"", :gourmet => ""my deepest sin"", :music => ""eclectic tastes"", :art => ""give happiness and color""]

me.skills = {:mental => [:problem_solving, :good_memory, :abstract_thinking, :positive_attitude, :focus, :results_oriented], :social => [:listener, :learner, :mentor, :needs_elicitor, :mediator, :people_oriented ]}

me.programming = {languages => [:ruby, :js, :html, :css, :coffeescript, :python, :java, :c, :logo], :skills => [:agiledev, :patterns, :continuos_improvement, :project_management, ], :practices=> [:software_craftsmanship, :test_first, :object_thinking, :solid_principles, :refactoring, :pair_programming, :collective_ownership], paradigms => [:domain_driven_design, :lean, :behaivour_driven_design, :scrum, :xp]. :web_frameworks => [:rails, :sinatra], :tools => [:cucumber, :rspec, :capybara, :git, :jquery, :sql, :mongodb]. :segments => [:health, :real_state, :gis]}

me.past = {:jobs => {:[university_of_guadalajara](http://www.cucs.udg.mx/) => chief_of_programming_and_analysis, :[panamerican_health_organization](http://new.paho.org/hq/index.php?lang=en) => advisor_information_systems, :[johns hopkins](http://www.jhsph.edu/summerepi)}, :business => [:venyrent, :asdetec, :buzzurbano]}

me.present = {:business => [:[agiltec](http://agiltec.com.mx), :[imber](http://imber.com.mx/)}

[http://about.me/manuel.vidaurre](http://about.me/manuel.vidaurre)

### Declaration Statement
Create innovative business (models and implementations) that are profitable and make the people happier and productive.

### Vision
Be an influential person that enrich the life of others and be happy along the quest

### Mission
Create and implement products, systems, applications, methods, startups and business that will enable the people to be happier, healthier and productive

### Values
  * Positive Social Contribution
  * Innovation and Creativity
  * Evidence for Decision Making
  * Working Software and Useful Systems
  * Empathy and Collaboration with Customers
  * Beauty and Style
  * Proactivity and Responding to Change
  * Meaning in Life
  * Products with Soul 

<i class="" icon-twitter""></i> [@mvidaurre](https://twitter.com/#!/mvidaurre) |
<i class="" icon-facebook""></i> [manuel.enrique.vidaurre.arenas](http://www.facebook.com/manuel.enrique.vidaurre.arenas) | 
<i class="" icon-linked-in""></i> [manuelvidaurre](http://www.linkedin.com/in/manuelvidaurre)
<i class="" icon-flickr""></i>  [16896625@N00](http://www.flickr.com/people/16896625@N00/)
<i class="" icon-github""></i>  [mvidaurre](https://github.com/mvidaurre/)
WorkingWithRails: [12895-manuel-vidaurre](http://workingwithrails.com/person/12895-manuel-vidaurre)

Visual CV: [CV](http://vizualize.me/manuel.vidaurre?r=manuel.vidaurre#.UlbrHGSgn21)

![Profile picture](https://raw.github.com/mvidaurre/rubyconfau-2014-cfp/master/talk-manuel.vidaurre-why.ruby.culture.can.make.the.difference.in.Software.Development.A.Behavioral.Economics.Reflexion/profile_picture.jpg)

- [My website](https://github.com/mvidaurre)
- [My twitter](https://twitter.com/#!/mvidaurre)
- [Past talk slides](https://speakerdeck.com/mvidaurre)
- [BDD for RESTful apps](http://prezi.com/tyrbuam6agbm/?utm_campaign=share&utm_medium=copy&rc=ex0share)
- [Ember Talk](http://agiltec.github.io/presentations/Ember.js/introduction.to.ember.js/emberjs.html#/emberjs)
- [Video: BDD - Desarrollo Dirigido por Comportamientos](http://vimeo.com/6046373)",
23,The Golden Age of the Internet,"Congratulations. The Internet is now the centre of civilisation as we know it, and _we_ are the ones who shape the Internet. Our skills are in high demand, we are paid well, we find our work challenging, interesting, and even sometimes fulfilling. These are the glory days of our industry, and we should soak up every minute of it!

And let's ignore those storm clouds gathering on the horizon - with our talent, surely we will soar above them like Icarus towards the sun.","# The Golden Age of the Internet

Congratulations. The Internet is now the centre of civilisation as we know it, and _we_ are the ones who shape the Internet. Our skills are in high demand, we are paid well, we find our work challenging, interesting, and even sometimes fulfilling. These are the glory days of our industry, and we should soak up every minute of it!

But with such great power comes a great deal of responsibility. Will we be looking back in the near future, wondering if we squandered our opportunities to shape the digital world accordingly?

There's no doubt that we value humanity, intelligence, and compassion. Let's take a look at the ways our industry can ensure these values are reflected not just in the people we are, but the way we work.

## Pat Allan

Pat earns his keep as a freelance web and Ruby developer based in the coworking space of [Inspire9](http://inspire9.com) in Melbourne, Australia. Often, though, you'll find him travelling around the world, attending interesting events and meeting interesting people.

As well as working with talented development teams and writing [open source Ruby libraries](https://github.com/pat), he's a fan of bringing people together for gatherings small and large, including [Trampoline](http://trampolineday.com) and [Rails Camp](http://railscamps.com). And if you ask him nicely, he might even cook you a pancake.

![Profile picture](http://pat-public.s3.amazonaws.com/profile.jpg)

- [My website](http://freelancing-gods.com)
- [My twitter](https://twitter.com/pat)
- Past talk slides: [Crafting Gems - RailsConf 2013](https://speakerdeck.com/pat/crafting-gems-railsconf-2013)
- Past talk videos: [Crafting Gems - RailsConf 2013](http://confreaks.com/videos/2482-railsconf2013-crafting-gems), [Refactoring Community - RubyConf Australia 2013](https://vimeo.com/61172063)",
25,Engineering Words,,"# Engineering Words

Code is communication.

The more forms of expression we master, the better we can become as developers.
Learning to compose effective prose will improving our ability to express ideas
to developers and to construct better software.

You are already great at using Ruby to communicate your ideas to other
developers, and you use html and css to communicate with people using your site.

I hope to help you become a better wielder of the written word in the form of
blog posts.

## Caleb Thompson

Caleb is a developer at thoughtbot, has been crafting software since 2008, and
speaks x86 Assembly, Java, C++, C#, and Ruby on Rails.

He has braved the wintry tundra of Alaska and the harsh deserts of Arizona where
he earned a Bachelor’s of Science degree in Software Engineering from the
University of Advancing Technology. He can fired a Mosin-Nagant without
blinking, fought the Red Menace, built Battleship Couch, killed a bear to wear
its pelt, and once bludgeoned a man with a motherboard.

Caleb enjoys fine wines, craft beers, Futurama, and punching comets.

![Profile picture](http://www.gravatar.com/avatar/fa4826b97e0df1edc518375133a0d3c4.png?s=275)

- [My website](http://calebthompson.io)
- [My twitter](https://twitter.com/thompson_caleb)",
26,Proposal: The Art of Ruby by halogenandtoast.,"The Art of Ruby: A talk about code, art, and the search for balance between beauty and performance.","# The Art of Ruby

We should all be artists in our craft, but there is a balance between expressiveness and performance. This talk is about finding that balance and producing beautiful code that doesn't sacrifice syntax for speed. I'll explore real world examples of code and mold them into something far more expressive. During the process, we'll take a look at how common design patterns are applied to larger applications and examine the repercussions.

## Matthew ""Goose"" Mongeau

I've programming in Ruby and Ruby on Rails since late 2004 when the first 15 minute blog video hit the web. Forever changed by brief introduction to Rails I've spent the last 9 years honing my craft. I eventually found myself at thoughtbot where I currently spread the knowledge of Ruby to others by teaching workshops both online and in person.

![Profile picture](https://raw.github.com/halogenandtoast/rubyconfau-2014-cfp/master/talk-halogenandtoast-the_art_of_ruby/profile_picture.jpg)

- [My website](http://halogenandtoast.com)
- [My twitter](https://twitter.com/halogenandtoast)
- [Past talk slides](http://www.slideshare.net/halogenandtoast/origamists-ruby-22978905)
- [Past talk video](http://vimeo.com/70184420)",
27,Proposal: State of JRuby 2014,JRuby talk proposal.,"# State of JRuby 2014

JRuby is a fast implementation of the Ruby language on the Java Virtual
Machine.

You may wonder if it can be faster.
You may have heard of the slow startup time. Can it load faster?
You may have heard that your favorite C extension does not work on
JRuby. What about cross-platform C extension API?

This talk will discuss these questions.

This year (2014), the project will release a major milestone:
JRuby [9000](https://www.dropbox.com/s/sl2ujx1syt7kqzh/8000.mov) (仮).
Main new features of this release include:
  * Ruby 2.1 compatibility
  * New compiler
  * Better InvokeDynamic experience

A JRuby core team member Hiro Asari will discuss these topics.

## Hiro Asari

Hiro Asari is an open source developer, writing code mostly in Ruby
(occasionally in Java, so you don't have to).
His past contributions include JRuby, OpenShift, RubySpec, Rails, mysql2,
and Refinery CMS.

![Profile picture](http://en.gravatar.com/userimage/39571497/25d1c154f43df045c21322934a17a4e5.jpg?size=200)

- [Twitter](https://twitter.com/hiro_asari)",
28,The Dark Side of Ruby,Welcome to the dark side of Ruby and get en**light**ened.,"# The Dark Side of Ruby

I love Ruby! But as in any relationship, to love means that you (often) have to accept the ""dark side"" too! Ruby is human in nature and has a lot of gotchas, tricks, wierdness and sometimes scary features that I plan to highlight. This talk aims to provide the ""Ah-ha!"" moments when working in Ruby.

This talk is for beginners and experts alike - in fact, I tag slides to mark their level and beginners can choose to tune out of the heavy stuff! My talk shall cover the dark side of the following features of Ruby (in no particular order)

* Keyword wierdness
* method missing
* Module inheritance! (huh?)
* Accessor righteousness
* Curried Procs for the hungry
* Base Conversions
* Cherry picking module methods
* Oniguruma games
* Object id wierdness
* procs, blocks and our friend stubby.
* ==, ===, eql? and equal?
* and more...

As with most of my talks, humor plays an important role and I shall aim to get everyone **high** on Ruby with a **deep** dive!

## Gautam Rege

Driven by his passion for programming, Gautam co-founded Josh Software with Sethupathi Asokan in 2007. Gautam who still codes religiously leads the marketing of the India-based Josh Software brand across the world apart from being involved in delivering web solutions for the client partners of the organization. 

He is an ardent promoter of Ruby on Rails and leads many of the brand’s initiatives to promote this framework in India. He helps organize the Annual RubyConf India, talks at Ruby Conferences across the world and manages local Ruby meetups. When not discussing Ruby, he loves talking about entrepreneurship and the importance of starting up young! Apart from being an active voice through his popular blog, Gautam has authored a book on Ruby and Mongo DB web development. He truly believes that Ruby is the language of the next generation of web application development. 

In his spare time apart from spending time with his family, he is an athlete and loves playing cricket, basketball and soccer when he can. He is always on the look out to fuel his hunger for adventure like skydiving and bungee jumping.

![Profile picture](https://raw.github.com/gautamrege/rubyconfau-2014-cfp/master/talk-gautamrege-the_dark_side_of_ruby/profile_picture.jpg)

- [My website](http://blog.joshsoftware.com)
- [My twitter](https://twitter.com/gautamrege)
- [My Talk Profile](http://lanyrd.com/profile/gautamrege/)
- [My book - Ruby and MongoDB Web Development](http://www.packtpub.com/ruby-and-mongodb-web-development-beginners-guide/book)
- [RubyConf India 2012 - Push it Push it some more](http://www.confreaks.com/presenters/247-gautam-rege)
- [Lone Star Ruby Conf 2010](http://josh-splat.heroku.com/)",
